model,numLoadInsts,numStoreInsts,numInsts,numBranches,intAluAccesses,numOps,ipc,hit,L1Icache,L1Dcache,L2cache,pipelinewidth
2,11917617,97460,55635541,4802325,36453858,55579209,0.088003,4763048,32768,524288,1048576,8
2,11986368,97512,56025038,4834941,36738536,55968333,0.088307,4797630,32768,524288,1048576,8
2,11906625,97454,55135948,4672229,35845978,55082630,0.086957,4711101,32768,524288,1048576,8
2,12046376,97358,57148977,5023599,37930058,57097472,0.090528,4886834,32768,524288,1048576,8
2,11685226,98692,54289471,4621351,35395087,54234901,0.087196,4649062,32768,524288,1048576,8
2,12166343,6087217,85141329,6091581,85157904,85076918,0.203258,17856058,32768,524288,1048576,8
2,12150745,6075463,85041637,6081493,85056417,84995400,0.203168,17832206,32768,524288,1048576,8
2,12162507,6081339,85121795,6087409,85136893,85076967,0.203364,17848410,32768,524288,1048576,8
2,12158128,6078766,85093375,6085447,85108973,85044778,0.203282,17842593,32768,524288,1048576,8
2,12160847,6080387,85111524,6087016,85127105,85066310,0.203338,17846321,32768,524288,1048576,8
2,12164193,6082213,85134263,6088288,85149451,85089080,0.203393,17851086,32768,524288,1048576,8
2,12151555,6076348,85043655,6080525,85057425,84998625,0.20318,17834027,32768,524288,1048576,8
2,12157189,6078629,85084377,6084732,85099017,85041038,0.203279,17841366,32768,524288,1048576,8
2,63595,39556,431914,47455,438211,397046,0.310822,88229,32768,524288,1048576,8
2,43977,24139,293328,31012,298242,271334,0.361674,56528,32768,524288,1048576,8
2,44737,24291,302519,31712,307291,280262,0.342351,57303,32768,524288,1048576,8
2,119620947,31008040,713461278,96673078,742495073,424178935,0.667944,113576584,32768,524288,1048576,8
